id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41551146,Luxury Attic - by Design Club Collection,327258630,Design Club Collection,,Porto - Saragozza,44.49846,11.34037,Entire home/apt,189,1,170,2025-06-07,2.49,36,213,9,IT037006B4M2QAOBSM
41551947,Camera con bagno privato - Bologna centro,28095362,Leonardo,,Santo Stefano,44.50062,11.35381,Private room,55,2,144,2025-09-14,4.36,2,324,41,IT037006C1N6V3MQSO
41573749,Luxury Floor Jacuzzi Attic - By Design Club,327258630,Design Club Collection,,Porto - Saragozza,44.49834,11.34014,Entire home/apt,260,1,176,2025-08-30,2.59,36,142,13,IT037006B4M2QAOBSM
41576411,B&B A Casa Mia: camera 2 GIALLA,4373635,B&B A Casa Mia,,Porto - Saragozza,44.4959,11.33001,Private room,,1,20,2025-05-04,0.29,4,334,5,IT037006C1CYUT8PJ5
41579859,Luxury Floor Jacuzzi Apartment - By Design Club,327258630,Design Club Collection,,Porto - Saragozza,44.4984,11.34054,Entire home/apt,225,1,126,2025-07-25,1.85,36,232,13,IT037006B4M2QAOBSM
41580802,Luxury Penthouse with Terrace - Two Towers View,327258630,Design Club Collection,,Porto - Saragozza,44.49718,11.34048,Entire home/apt,554,1,13,2025-09-20,0.21,36,179,1,IT037006B4ZDOH84P5
41582282,Business Studio - by Design Club Collection,327258630,Design Club Collection,,Porto - Saragozza,44.49728,11.33855,Entire home/apt,193,1,121,2025-07-09,1.79,36,199,16,IT037006B4M2QAOBSM
41582839,Business Apartment - by Design Club Collection,327258630,Design Club Collection,,Porto - Saragozza,44.49691,11.33882,Entire home/apt,190,1,214,2025-09-04,3.15,36,237,17,IT037006B4M2QAOBSM
41583193,Eco Chic Studio - by Design Club Collection,327258630,Design Club Collection,,Porto - Saragozza,44.49912,11.33878,Entire home/apt,245,1,148,2025-07-14,2.31,36,229,15,IT037006B4M2QAOBSM
41583599,Eco Chic 3 Room Apartment - by Design Club,327258630,Design Club Collection,,Porto - Saragozza,44.49772,11.33875,Entire home/apt,351,1,94,2025-01-14,1.38,36,201,2,IT037006B4ZDOH84P5
41583896,Elegance Apartment with Terrace - by Design Club,327258630,Design Club Collection,,Porto - Saragozza,44.4989,11.34013,Entire home/apt,238,1,57,2025-06-06,0.89,36,210,4,IT037006B4M2QAOBSM
41584191,Suite Deluxe - D'Azeglio & Galluzzi Suites,51997280,Andrea,,Santo Stefano,44.491943359375,11.341985702514648,Entire home/apt,332,1,1,2020-01-26,0.01,3,171,0,IT037006B47ARQZVAO
41584391,Elegance Apartment - by Design Club Collection,327258630,Design Club Collection,,Porto - Saragozza,44.49734,11.34082,Entire home/apt,261,1,47,2025-08-28,0.69,36,217,4,IT037006B4M2QAOBSM
41584640,Elegance Apartment with Balcony - by Design Club,327258630,Design Club Collection,,Porto - Saragozza,44.49873,11.34068,Entire home/apt,195,1,57,2025-09-04,0.84,36,217,16,IT037006B4M2QAOBSM
41584994,Elegance Studio - by Design Club Collection,327258630,Design Club Collection,,Porto - Saragozza,44.49783,11.3408,Entire home/apt,166,1,78,2024-10-22,1.22,36,166,2,IT037006B4M2QAOBSM
41601376,"SWING HOUSE -free parking, historic centre, NO ZTL",202278701,Cristina,,Porto - Saragozza,44.5,11.33522,Entire home/apt,189,1,204,2025-09-16,3.22,1,100,37,IT037006C2APLYEQZJ
41605131,Cozy Studio Apartment Broccaindosso,255826404,Francesca,,Santo Stefano,44.49279,11.35475,Entire home/apt,153,2,222,2025-09-03,3.23,2,133,38,IT037006C24HIXRVEI
41610532,CAMERA MATRIMONIALE CON BAGNO E BALCONE,32062320,Daniele,,Porto - Saragozza,44.49822,11.33594,Private room,,31,13,2025-02-16,0.24,6,0,1,IT037006B4YT8CCO2I
41630366,B&B A Casa Mia stanza 3 VERDE,4373635,B&B A Casa Mia,,Porto - Saragozza,44.4953,11.33089,Private room,73,1,60,2025-09-14,0.87,4,302,15,IT037006C1CYUT8PJ5
41634270,B&B da Fernanda e Naime. Sentiti a casa a Bologna,314417328,Fernanda,,Porto - Saragozza,44.50254,11.33988,Private room,99,1,271,2025-09-13,3.93,1,67,59,IT037006C1QO4XKDQK
41682870,AbitaRoom 6 Wood Room,99194205,Pasquale,,Navile,44.507957,11.340406,Private room,152,1,8,2024-11-24,0.16,8,50,1,IT037006B4ARKA9VJE
41682924,AbitaRoom 5 Brick Room,99194205,Pasquale,,Navile,44.507957,11.340406,Private room,135,1,4,2023-07-22,0.10,8,42,0,IT037006B4ARKA9VJE
41683956,AbitaRoom 7 Sage Room,99194205,Pasquale,,Navile,44.507957,11.340406,Private room,137,1,10,2025-06-09,0.21,8,53,3,IT037006B4ARKA9VJE
41709076,"| Camera Rossa, doppia, B&B AlbertaD |",3558853,Pierfrancesco,,Porto - Saragozza,44.49438,11.3306,Private room,,2,3,2024-10-06,0.04,1,0,0,IT037006C1UFH5NTB8
41721050,Luxury Apartment in Bologna Fiera with Car Garage,329449430,Francesco,,San Donato - San Vitale,44.50271,11.36504,Entire home/apt,181,1,10,2025-10-05,0.15,2,300,6,IT037006B4LUSOUAMG
41738899,Casa Garbo,329624550,Anna,,Porto - Saragozza,44.49767,11.33964,Entire home/apt,121,3,240,2025-09-21,3.95,1,80,55,IT037006C2GYWY585U
41814033,Giardini Margherita apartments - Flat in Italy,50429991,Flat In Italy,,Santo Stefano,44.48593,11.34709,Entire home/apt,,31,2,2020-02-16,0.03,8,0,0,
41836186,Casa Petronio Apts Bologna Center - Free Parking,330667884,Paolo,,Santo Stefano,44.490196228027344,11.35222339630127,Entire home/apt,264,1,259,2025-09-21,3.81,3,143,62,IT037006B4NDWA2K5T
