id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1337833446627569772,Room Accogliente nel cuore di Napoli,660347306,Emanuele,,San Ferdinando,40.835693895639395,14.247067525867068,Private room,111,1,4,2025-05-28,0.94,4,322,4,IT063049B4B3DZH8YU
1337859881426183683,Camera Matrimoniale con Ascensore e Metropolitana,671678330,Mariarosaria,,Avvocata,40.8577126,14.2434463,Private room,69,2,0,,,4,92,0,IT063049C2TJT4X4XB
1337878015101416789,Camera Matrimoniale Bagno Interno Ascensore Metro,671678330,Mariarosaria,,Avvocata,40.85743,14.24312,Private room,,2,0,,,4,0,0,IT063049C2TJT4X4XB
1337895622245242166,Alexander Room 1,662528551,Alessandro,,San Lorenzo,40.85218274476451,14.267285577962024,Private room,51,31,29,2025-06-13,6.90,14,308,29,"I applied for a CIN, but haven’t received it yet"
1337900856277814711,Appartamento con Vista Vesuvio Ascensore e Metro,671678330,Mariarosaria,,Avvocata,40.8577126,14.2434463,Entire home/apt,190,3,5,2025-06-04,1.72,4,322,5,IT063049C2TJT4X4XB
1337916071554329890,Alexander Room 2,662528551,Alessandro,,San Lorenzo,40.85425188080567,14.267436625723647,Private room,51,31,18,2025-06-13,3.72,14,343,18,"I applied for a CIN, but haven’t received it yet"
1337921125517828216,Alexander Room 3,662528551,Alessandro,,San Lorenzo,40.85442854843503,14.265395114497741,Private room,51,31,21,2025-06-06,5.00,14,333,21,"I applied for a CIN, but haven’t received it yet"
1338239316024956970,Tripla Deluxe letti singoli-Chiaia-B&B-DomusSchipa,7469226,Magda,,Chiaia,40.83474496794388,14.222268582607096,Private room,79,1,2,2025-05-17,1.15,3,175,2,IT123123A112345678
1338243447946260500,Giudice home2,674107083,Teresa,,Bagnoli,40.81788960758289,14.162458313104432,Private room,80,1,12,2025-06-13,3.08,3,259,12,IT063049B4J49XKHBN
1338249403793611800,room rosa nonna ida 2,598803812,Antonio,,Mercato,40.84847816942715,14.271447588208499,Private room,91,2,0,,,3,327,0,IT063049C2WU4APQLE
1338259113427008038,Matrimoniale Standard - Chiaia - B&B- Domus Schipa,7469226,Magda,,Chiaia,40.83571377060866,14.220159509686273,Private room,75,1,1,2025-02-21,0.25,3,177,1,IT123123A112345678
1338274561596235210,Maschio Angioino Appartamento vasca idromassaggio,674113882,Mario,,Porto,40.841294100847726,14.254059073178203,Entire home/apt,140,1,0,,,3,219,0,IT063049C2VIQ9HSRP
1338315023228793055,Maschio Angioino Appartamento Luxury Netflix,674113882,Mario,,Porto,40.8405,14.25462,Entire home/apt,140,1,2,2025-03-07,0.46,3,192,2,IT063049C2VIQ9HSRP
1338324569670054950,Napolation B&B - Centro Storico,672449629,Alessandro,,San Lorenzo,40.85235989572473,14.261773534929032,Private room,126,2,0,,,2,163,0,IT063049C1U3ZAKTYL
1338364160473895243,Maschio Angioino Top apartment vasca idromassaggio,674113882,Mario,,Porto,40.84102204635093,14.25412321447235,Entire home/apt,132,1,2,2025-03-29,0.51,3,226,2,IT063049C2VIQ9HSRP
1338375025818349494,Cucciola Arlecchino,674143344,Claudio,,Vomero,40.84636601251094,14.227238575532528,Entire home/apt,135,3,0,,,1,209,0,IT063049C2SAV4SPDL
1338379566846793414,Appartamento Deluxe con cucina,593519892,Clara,,Pendino,40.8507455,14.2668395,Entire home/apt,120,1,3,2025-05-27,0.94,3,350,3,IT063049C2WVRBGKWF
1338381275254035143,Camera matrimoniale con cucina in comune,593519892,Clara,,Pendino,40.8507455,14.2668395,Private room,60,1,3,2025-05-14,0.96,3,338,3,IT063049C2WVRBGKWF
1338382572008307142,Camera matrimoniale con cucina in comune,593519892,Clara,,Pendino,40.8507455,14.2668395,Private room,63,1,4,2025-05-31,1.50,3,333,4,IT063049C2WVRBGKWF
